candidate_id,episode_id,silver_label,first_death,first_death_reason,survived_to_scoring,final_accepted,final_score,original_rejection_stage
c=a7a306c4bd0a,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=d365924484e8,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=e3b05929187f,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=ce939719d2fd,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=93b1dc5b6f8a,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=7a1ce6c95344,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=403d1296c942,I6wCuvvaRPI,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=b753ad6d4b26,I6wCuvvaRPI,FAIL,07_DURATION_GATE,too short (11.1s < 14s) (after repair attempt),no,no,,FINALIZE_START_GATE
c=e8c43f9a54d5,I6wCuvvaRPI,PASS,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=8e31a1c1d024,I6wCuvvaRPI,PASS,04_ENDING_COMPLETE,ending incomplete (UNKNOWN),no,no,,ENDING_COMPLETE
c=2e8da3d82d3c,I6wCuvvaRPI,PASS,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=4e296bf93469,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=88fa00fefcba,I6wCuvvaRPI,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,FINALIZE_START_GATE
c=0c6b94e30513,I6wCuvvaRPI,FAIL,03_START_GATE,"start gate hard failure: MID_SENTENCE,LATE_HOOK (no valid repair)",no,no,,FINALIZE_START_GATE
c=e61592727e1a,I6wCuvvaRPI,PASS,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
c=a75cb8b701a4,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
c=76192a8ce81e,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=96ea8019f1d5,I6wCuvvaRPI,FAIL,03_START_GATE,start gate hard failure: MID_SENTENCE (no valid repair),no,no,,ENDING_COMPLETE
c=9e121d6b7221,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
c=d178fe0790ad,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=e66206ebba35,I6wCuvvaRPI,FAIL,04_ENDING_COMPLETE,ending incomplete (QUESTION_START),no,no,,ENDING_COMPLETE
c=04ee0256d13f,I6wCuvvaRPI,FAIL,07_DURATION_GATE,too short (13.4s < 14s) (after repair attempt),no,no,,MIN_DURATION
c=e330315241e4,I6wCuvvaRPI,REVIEW,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=ee7c381be8ab,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,ENDING_CONFIDENCE
c=ece1e800fa4f,I6wCuvvaRPI,FAIL,05_ENDING_CONFIDENCE,ending confidence 0.78 < 0.82 (after repair attempt),no,no,,FINALIZE_START_GATE
