candidate_id,episode_id,split,rough_start_sec,rough_end_sec,final_start_sec,final_end_sec,generator_version,transcript_hash
c=a7a306c4bd0a,I6wCuvvaRPI,legacy,47.92,96.32,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=d365924484e8,I6wCuvvaRPI,legacy,118.16,184.4,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=e3b05929187f,I6wCuvvaRPI,legacy,238,303.36,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=ce939719d2fd,I6wCuvvaRPI,legacy,398.48,447.28,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=93b1dc5b6f8a,I6wCuvvaRPI,legacy,528.48,575.36,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=7a1ce6c95344,I6wCuvvaRPI,legacy,573.12,649.84,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=403d1296c942,I6wCuvvaRPI,legacy,718.96,784.08,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=b753ad6d4b26,I6wCuvvaRPI,legacy,826.96,880.24,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=e8c43f9a54d5,I6wCuvvaRPI,legacy,921.92,969.28,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=8e31a1c1d024,I6wCuvvaRPI,legacy,1112.16,1167.52,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=2e8da3d82d3c,I6wCuvvaRPI,legacy,1253.44,1319.84,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=4e296bf93469,I6wCuvvaRPI,legacy,1316.16,1365.36,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=88fa00fefcba,I6wCuvvaRPI,legacy,1535.92,1587.28,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=0c6b94e30513,I6wCuvvaRPI,legacy,1691.04,1718.72,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=e61592727e1a,I6wCuvvaRPI,legacy,1773.12,1818.24,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=a75cb8b701a4,I6wCuvvaRPI,legacy,1837.12,1900.24,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=76192a8ce81e,I6wCuvvaRPI,legacy,2014.96,2085.12,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=96ea8019f1d5,I6wCuvvaRPI,legacy,2128.8,2174,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=9e121d6b7221,I6wCuvvaRPI,legacy,2205.44,2250.48,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=d178fe0790ad,I6wCuvvaRPI,legacy,2328,2390.16,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=e66206ebba35,I6wCuvvaRPI,legacy,2608.32,2633.04,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=04ee0256d13f,I6wCuvvaRPI,legacy,3423.52,3452.72,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=e330315241e4,I6wCuvvaRPI,legacy,3554.08,3600.88,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=ee7c381be8ab,I6wCuvvaRPI,legacy,3664.96,3706.4,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=ece1e800fa4f,I6wCuvvaRPI,legacy,3709.6,3765.92,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=6b38799aa57a,I6wCuvvaRPI,legacy,3782.56,3825.28,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=af040325416f,I6wCuvvaRPI,legacy,3833.76,3875.76,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=d221a831ff98,I6wCuvvaRPI,legacy,3984.8,4003.12,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=f9a010a766c0,I6wCuvvaRPI,legacy,4062.24,4096.16,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=1b9ff32f697c,I6wCuvvaRPI,legacy,4578.08,4609.04,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=61af689ce18e,I6wCuvvaRPI,legacy,4751.76,4797.76,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=604b0e1e55b3,I6wCuvvaRPI,legacy,4877.6,4924.24,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=bfd6914a0bba,I6wCuvvaRPI,legacy,5248.24,5293.12,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=e293b5a7b8de,I6wCuvvaRPI,legacy,5364.88,5411.52,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
c=0159d2fa546a,I6wCuvvaRPI,legacy,5439.28,5491.12,,,v12-lineage,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75
