episode_id,split,source,language,duration_sec,word_count,transcript_sha256,status
2HLGcRpw1hc,legacy,youtube_asr,en,3976.0,12272,e22dc273b9bbc0a1d11728de5aecad8ef650304900456f7d8a5a5d1b2a59776e,cached
376JmatmnaI,legacy,youtube_asr,en,4059.0,14593,9e38d584f88ec659214b3fa323c1a8169ffff924a56a79a4b7b01efeabdca7db,cached
3NSC5nps3OM,legacy,youtube_asr,en,3807.0,11260,bb4143c6decd081068986172f6492bec4406bb32f0171866abbec38964795015,cached
GOqEl4ADyVk,legacy,youtube_asr,en,6653.0,25206,0b5650af6cbb85caa91327a0aa18c7f8f9e2b2904b2bbb7a9b4a9332f0895392,cached
Hb2rKGfIOrM,legacy,youtube_asr,en,4080.0,10725,e0d1fca6e16df154b6e559e1e13d66d9ebd815c305fd1acbc282e598f8e12b25,cached
I6wCuvvaRPI,legacy,youtube_asr,en,6204.0,18850,1beaaa7e1e4fb2d73183d2a34baaa6dffd205e7e8069f4cbe1919face3cacb75,cached
Ive926sC6mc,legacy,youtube_asr,en,3925.0,12760,c164fe4d4b5fb02b8c5e36304d0f0be5fc6ec182b5f497f9dfcdfcacbf1d7e63,cached
LAmGfokvgzA,calibration,youtube_asr,en,5773.0,17338,c97f7db814a9cd4c98a71d6e8c94353bde4458a3072d640fc3c339df03f2315f,cached
UZ1kCEGjYX0,legacy,youtube_asr,en,3693.0,12755,de7a54bcbb36dc92f9a72110cbb0ea495e5d8050bc03ec8a917185110070d388,cached
XuoqKYxDHVc,legacy,youtube_asr,en,5103.0,15184,f8cce650717ae6b5d4616e7f4c7777aa03bdb3567de00505bf95c48938a01c76,cached
e1WM_JEmP-Q,holdout,youtube_asr,en,4187.0,13578,adca5949309dff15956da4fe9a9238ce02f89223364a1040267ddd5e7cd4178a,cached
g2cQ2kD6lzs,legacy,youtube_asr,en,2586.0,9451,af08f04061640138697143be9de4ac5ba83905cee6d693a05581811617ba5685,cached
hb7Oqrj3F3k,holdout,youtube_asr,en,3989.0,13911,9967772447c170d7f5a29ad1378ba82b267f382e8562dc57d978e8e961f39eef,cached
vs6x8VUGXCw,calibration,youtube_asr,en,7444.0,19499,967c1d702177013d367d878652b0c053b160475e57cd20ee3a78c9c8bc0fa067,cached
