candidate_id,label,hard_negative,next_topic_leakage_case,control_accepted,variant_accepted,control_first_death,variant_first_death,why_changed,safety_review,acceptable
c=a7a306c4bd0a,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=d365924484e8,FAIL,false,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=e3b05929187f,FAIL,false,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,CLEAN,true
c=ce939719d2fd,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=93b1dc5b6f8a,FAIL,true,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=7a1ce6c95344,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=b753ad6d4b26,FAIL,true,true,false,false,07_DURATION_GATE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=e8c43f9a54d5,PASS,false,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,FLAGGED_SAFETY_CLASS,true
c=2e8da3d82d3c,PASS,false,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,CLEAN,true
c=4e296bf93469,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=e61592727e1a,PASS,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,FLAGGED_SAFETY_CLASS,true
c=a75cb8b701a4,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=76192a8ce81e,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=9e121d6b7221,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=d178fe0790ad,FAIL,false,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,CLEAN,true
c=04ee0256d13f,FAIL,true,true,false,false,07_DURATION_GATE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=e330315241e4,REVIEW,false,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,FLAGGED_SAFETY_CLASS,true
c=ee7c381be8ab,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,12_ACCEPTANCE_THRESHOLD,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=ece1e800fa4f,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=6b38799aa57a,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=af040325416f,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=604b0e1e55b3,PASS,true,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,FLAGGED_SAFETY_CLASS,true
c=bfd6914a0bba,FAIL,false,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=e293b5a7b8de,FAIL,true,true,false,false,07_DURATION_GATE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=85137df55867,FAIL,false,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=b558e0c55c77,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=bf2f10565902,FAIL,false,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=2a736ae0a24d,FAIL,true,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=4ed36065fce2,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=142081bda5dd,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=55e0c0081114,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=814fe10f8eec,FAIL,false,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=6a8b73599c4a,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=863e40f6ff3c,FAIL,false,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,CLEAN,true
c=89f5f2623db5,PASS,false,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,CLEAN,true
c=249972abe948,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=9ee1e4c7428c,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=9c6976be5cda,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=cf73aca0269d,FAIL,false,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,CLEAN,true
c=25019c795a66,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=937ad36c16ad,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=c578805cc019,FAIL,false,true,false,false,05_ENDING_CONFIDENCE,06_CONTAMINATION_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=f036b224755b,REVIEW,false,true,false,false,07_DURATION_GATE,12_ACCEPTANCE_THRESHOLD,no longer accepted / first-death moved,FLAGGED_SAFETY_CLASS,true
c=858a8a6ecf9e,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=04cb286eea2a,FAIL,true,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=cb7c24e086da,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=20397136965a,FAIL,true,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=f4f0d296e652,FAIL,false,true,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,NEW_SILVER_FAIL_OR_FLAGGED,true
c=3de6906bccbc,FAIL,false,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,CLEAN,true
c=821d405b9509,FAIL,false,false,false,false,05_ENDING_CONFIDENCE,03_START_GATE,no longer accepted / first-death moved,CLEAN,true
