candidate_id,episode_id,split,label,variant_id,first_death,first_death_reason,final_accepted,final_score
"c=a7a306c4bd0a","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE,LATE_HOOK","false",
"c=d365924484e8","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE,MISSING_CONTEXT,UNRESOLVED_REFERENCE","false",
"c=e3b05929187f","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=ce939719d2fd","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=93b1dc5b6f8a","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=7a1ce6c95344","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=403d1296c942","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=b753ad6d4b26","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=e8c43f9a54d5","I6wCuvvaRPI","legacy","PASS","E3","03_START_GATE","start gate hard failure: MID_SENTENCE,MISSING_CONTEXT","false",
"c=8e31a1c1d024","I6wCuvvaRPI","legacy","PASS","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=2e8da3d82d3c","I6wCuvvaRPI","legacy","PASS","E3","03_START_GATE","start gate hard failure: MID_SENTENCE,LATE_HOOK","false",
"c=4e296bf93469","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE,MISSING_CONTEXT","false",
"c=88fa00fefcba","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=0c6b94e30513","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE,LATE_HOOK","false",
"c=e61592727e1a","I6wCuvvaRPI","legacy","PASS","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=a75cb8b701a4","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=76192a8ce81e","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE,LATE_HOOK","false",
"c=96ea8019f1d5","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=9e121d6b7221","I6wCuvvaRPI","legacy","FAIL","E3","SURVIVED",,"true","78"
"c=d178fe0790ad","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=e66206ebba35","I6wCuvvaRPI","legacy","FAIL","E3","04_ENDING_COMPLETE","PENDING_ANSWER (after repair attempt)","false",
"c=04ee0256d13f","I6wCuvvaRPI","legacy","FAIL","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=e330315241e4","I6wCuvvaRPI","legacy","REVIEW","E3","03_START_GATE","start gate hard failure: MID_SENTENCE","false",
"c=ee7c381be8ab","I6wCuvvaRPI","legacy","FAIL","E3","12_ACCEPTANCE_THRESHOLD","score 65 < 70","false","65"
