candidate_id,label,hard_negative,next_topic_leakage_case,control_accepted,variant_accepted,control_first_death,variant_first_death,why_changed,safety_review,acceptable
c=a7a306c4bd0a,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=d365924484e8,FAIL,false,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=e3b05929187f,FAIL,false,false,false,true,05_ENDING_CONFIDENCE,,newly accepted,CLEAN,true
c=ce939719d2fd,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=93b1dc5b6f8a,FAIL,true,false,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=7a1ce6c95344,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=403d1296c942,FAIL,true,true,false,true,03_START_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=b753ad6d4b26,FAIL,true,true,false,true,07_DURATION_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=e8c43f9a54d5,PASS,false,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,FLAGGED_SAFETY_CLASS,false
c=8e31a1c1d024,PASS,false,false,false,true,04_ENDING_COMPLETE,,newly accepted,CLEAN,true
c=2e8da3d82d3c,PASS,false,false,false,true,05_ENDING_CONFIDENCE,,newly accepted,CLEAN,true
c=4e296bf93469,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=88fa00fefcba,FAIL,true,true,false,true,03_START_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=0c6b94e30513,FAIL,true,true,false,true,03_START_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=e61592727e1a,PASS,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,FLAGGED_SAFETY_CLASS,false
c=a75cb8b701a4,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=76192a8ce81e,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=96ea8019f1d5,FAIL,true,true,false,true,03_START_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=9e121d6b7221,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=d178fe0790ad,FAIL,false,false,false,true,05_ENDING_CONFIDENCE,,newly accepted,CLEAN,true
c=e66206ebba35,FAIL,true,true,false,true,04_ENDING_COMPLETE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=04ee0256d13f,FAIL,true,true,false,true,07_DURATION_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=e330315241e4,REVIEW,false,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,FLAGGED_SAFETY_CLASS,false
c=ee7c381be8ab,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=ece1e800fa4f,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=6b38799aa57a,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=af040325416f,FAIL,true,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=d221a831ff98,FAIL,true,false,false,true,03_START_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=f9a010a766c0,FAIL,true,true,false,true,04_ENDING_COMPLETE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=1b9ff32f697c,FAIL,false,true,false,true,07_DURATION_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=61af689ce18e,FAIL,true,true,false,true,03_START_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=604b0e1e55b3,PASS,true,false,false,true,05_ENDING_CONFIDENCE,,newly accepted,FLAGGED_SAFETY_CLASS,false
c=bfd6914a0bba,FAIL,false,true,false,true,05_ENDING_CONFIDENCE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=e293b5a7b8de,FAIL,true,true,false,true,07_DURATION_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
c=0159d2fa546a,FAIL,true,true,false,true,03_START_GATE,,newly accepted,NEW_SILVER_FAIL_OR_FLAGGED,false
